"id","title","text","subject","date"
"1","Viral Pengungsi Rohingya Sudah Masuk NTT dan Pegang KTP Palsu, Ini Faktanya","Kabar pengungsi Rohingya sudah memasuki wilayah Nusa Tenggara Timur (NTT) dan memegang KTP palsu beredar di media sosial (medsos). Bagaimana faktanya?","DETIKNEWS","16-Dec-2023"
"2","Akun Gmail-Google Drive yang Tak Aktif Mulai Dihapus Hari Ini","Akun Gmail, YouTube hingga Google Drive yang tak aktif dalam jangka waktu 2 tahun akan dihapus mulai hari ini, Jumat (1/12). berlaku untuk data di dalamnya","DETIKINET","01-Dec-2023"
"3","Melihat Serunya Aksi Pertunjukkan Budaya di Tengah Salju!","Trans Snow World Bintaro menggelar 'South Tangerang City International Culture Exchange'. Sambil bermain salju, kita bisa menyaksikan serunya aksi tari budaya.","DETIKTRAVEL","12-Nov-2023"
"4","Saat Fans Dibuat Meleleh Mile Phakpum Cs di The Magical ManSuang","Mile Phakphum, Apo Nattawin, Bas Asavapatr dan Tong Thanayut berhasil membius fans Jakarta di The Magical ManSuang yang berlangsung pada Sabtu (11/11).","DETIKHOT","12-Nov-2023"
"5","Proses Pemulangan Panda Raksasa di Washington ke China","Panda Mei Xiang, Tian Tian, dan anaknyameninggalkan Kebun Binatang Nasional Smithsonian Washington pada Rabu (8/11). Trio panda ini dipulangkan ke China.","DETIKTRAVEL","09-Nov-2023"
"6","The Marvels Jadi Salah Satu Film MCU dengan Rating Terburuk di Rotten Tomatoes","Para kritikus sudah mulai memberikan penilaian terhadap film The Marvels di Rotten Tomatoes. Film itu jadi film MCU dengan rating terburuk ketiga.","DETIKHOT","09-Nov-2023"
"7","BoA Bakal Comeback Akting Lewat Drama 'Marry My Husband'","BoA bakal comeback akting. Ia dikonfirmasi bergabung dalam drama 'Marry My Husband' yang akan tayang mulai 1 Januari 2024.","DETIKHOT","09-Nov-2023"
"8","Tas Louis Vuitton Karya Pharrell Williams Dibanderol Rp 15,6 Miliar","Louis Vuitton merilis tas 'Millionaire Speedy Bag' karya Pharrell Williams. Sesuai namanya, tas tersebut dibanderol harga Rp 15,6 miliar.","WOLIPOP","09-Nov-2023"
"9","Situs Obrolan Video Online Omegle Ditutup","Situs obrolan video online gratis Omegle yang lahir sejak 2009 resmi ditutup. Pendirinya, Leif K-Brooks membuat pengumuman di situs Omegle pada Kamis (9/11).","DETIKINET","09-Nov-2023"
"10","Saran Psikolog untuk Kinderflix yang Dapat Komentar Pelecehan Seksual","Kinderflix buka suara seusai konten edukasi mereka di YouTube banjir komentar pelecehan seksual. Psikolog klinis pun sebutkan hal lain yang bisa dilakukan.","DETIKHEALTH","09-Nov-2023"
"11","Trailer Game GTA 6 Bakal Dipamerkan Desember","Trailer GTA 6 akan dipamerkan awal Desember 2023 bertepatan dengan ulang tahun Rockstar Games ke-25. Kabar ini diumumkan Presiden Rockstar Games, Sam Houser.","DETIKINET","09-Nov-2023"
"12","Dampak Psikis Terburuk Korban Pelecehan Seksual di Medsos","Banyaknya komentar tidak senonoh di konten edukasi anak Kinderflix membuat host merasa takut. Psikolog klinis pun jelaskan dampak psikis yang mungkin muncul.","DETIKHEALTH","09-Nov-2023"
"13","Pendiri Apple Steve Wozniak Dilarikan ke Rumah Sakit Akibat Vertigo","Steve Wozniak salah satu pendiri Apple dilaporkan sakit. Ia dilarikan ke rumah sakit di Mexico City akibat mengidap vertigo.","DETIKINET","09-Nov-2023"
"14","WWF Nilai Hukuman Penjara untuk Pemburu Liar Masih Terlalu Rendah","Aktivitas perburuan satwa liar masih terjadi di beberapa wilayah. WWF (World Wildlife Fund) menilai hukuman penjara terhadap kejahatan ini masih tak cukup.","DETIKNEWS","09-Nov-2023"
"15","Konten Kinderflix Dapat Komentar Pelecehan dari Orang Dewasa, Ini Kata Psikolog","Viral konten edukasi anak Kinderflix mendapat komentar tidak pantas oleh orang dewasa. Psikolog klinis, nilai konten edukasi Kinderflix sudah ideal.","DETIKHEALTH","09-Nov-2023"
"16","Inisiatif YouTube Genjot Progresivitas Musisi dalam Bermusik","YouTube terus mengembangkan platformnya terutama dalam mendukung kemajuan musisi. Mereka pun melakukan dua inisiatif untuk mendorong musisi dalam berkarya...","DETIKINET","07-Nov-2023"
"17","Kata Sutradara soal Durasi 'The Marvels' Jadi Terpendek di MCU","'The Marvels' yang berdurasi 105 menit menjadi sorotan karena menjadi film terpendek dalam sejarah MCU. Sutradara pun buka suara terkait hal itu.","DETIKHOT","07-Nov-2023"
"18","Alasan Gen Z Rentan Kena Masalah Kesehatan Mental","Sebuah studi menyebutkan tingkat depresi Gen Z dua pertiga lebih tinggi dibanding gen milenial. Berikut beberapa faktor penyebab yang mempengaruhi hal tersebut.","DETIKHEALTH","07-Nov-2023"
"19","Sekjen PBB: Gaza Kini Jadi Kuburan Bagi Anak-anak","Sekjen PBB Antonio Guterres menyebut Gaza sebagai kuburan untuk anak-anak, imbas konflik Israel dan Hamas. Pihaknya pun terus menyerukan genjatan senjata.","DETIKNEWS","07-Nov-2023"
"20","Gamers Ramai-ramai Donasi untuk Palestina","Kebrutalan Israel melakukan serangan ke Palestina memantik amarah dan simpati banyak pihak. Termasuk dari para developer game dan gamers di seluruh dunia.","DETIKINET","07-Nov-2023"
"21","Jangan Dikucek! Lakukan Ini Jika Mata Kelilipan","Mengucek mata saat kelilipan ternyata berbahaya. Dokter Spesialis Mata Hisar Daniel pun memberikan tips aman bila mata kelilipan benda asing.","DETIKHEALTH","07-Nov-2023"
"22","Russell Brand Dituding Lakukan Pelecehan Seksual di Lokasi Syuting 'Arthur'","Russell Brand dituding melakukan pelecehan seksual saat syuting film 'Arthur' pada jli 2010. Sang aktor pun digugat ke Mahkamah Agung New York.","DETIKHOT","07-Nov-2023"
"23","Elon Musk Luncurkan AI Grok Pesaing ChatGPT","Elon Musk perkenalkan chatbot AI bernama Grok. Kecerdasan buatan ini disebut akan menjadi pesaing ChatGPT.","DETIKINET","07-Nov-2023"
"24","Eropa Bersiap Ungkap Potret Astronomi Pertama dari Teleskop Euclid","Eropa akan mengungkap gambar astronomi pertama hasil teleskop Euclid pada 7 November. Diketahui Euclid sedang dalam misi menjelajahi alam semesta gelap.","DETIKINET","07-Nov-2023"
"25","Alasan Laki-laki Enggan Terbuka soal Masalah Kesehatan Mental","Pria cenderung kurang terbuka terkait masalahnya. Bila dipendam dikhawatirkan dapat menimbulkan depresi. Berikut pandangan psikolog mengenai hal tersebut.","DETIKHEALTH","07-Nov-2023"
"26","4 Jam G-Dragon Diperiksa Terkait Tudingan Penyalahgunaan Narkoba","G-Dragon menjalani pemeriksaan selama 4 jam terkait dugaan narkoba, Senin (6/11). Sebelum diperiksa, GD menegaskan bahwa dirinya tidak menggunakan narkoba.","DETIKHOT","07-Nov-2023"
"27","Eksklusif! Cerita Zoe Abbas Didapuk Jadi 'Nike Ardilla' di Serial Biopik","Zoe Abbas menceritakan perjalanan dirinya didapuk perankan Nike Ardilla di 'Nike Ardilla The Series'. Seperti apa prosesnya? Simak video berikut!","DETIKHOT","31-Oct-2023"
"28","Selena Gomez Stop Main Medsos, Tak Kuat Lihat Berita Hamas vs Israel","Selena Gomez mengaku tak kuat melihat berita konflik antara Hamas dan Israel. Ia pun memutuskan untuk berhenti menggunakan media sosial.","DETIKHOT","31-Oct-2023"
"29","Respons Sandi soal Jembatan Kaca Banyumas Tak Kantongi Izin Usaha","Insiden wisata Jembatan Kaca The Geong Jembatan di Kabupaten Banyuwangi mengakibatkan 1 orang tewas. Menparekraf Sandiaga Uno pun merespons kejadian nahas itu.","DETIKTRAVEL","31-Oct-2023"
"30","Maraknya Bullying di Internet Jadi Inspirasi Wregas Bikin Film Budi Pekerti","Film Budi Pekerti raih 17 nominasi di FFI 2023. Film garapan Wregas Bhanuteja ini pun sebelumnya tayang di Toronto International Film Festival.","DETIKHOT","31-Oct-2023"
"31","WHO Ungkap RS di Gaza Dapat Ancaman dari Israel","WHO menyebut serangan Israel ke rumah sakit di jalur Gaza masih terus berlanjut. Bahkan, rumah sakit di Gaza bagian utara terus menerima perintah evakuasi.","DETIKNEWS","31-Oct-2023"
"32","Golden Disc Awards ke-38 Bakal Digelar di Jakarta International Stadium","Indonesia terpilih menjadi tuan rumah Golden Disc Awards ke-38 (GDA). Ajang penghargaan ternama musik K-Pop itu akan digelar pada 6 Januari 2024.","DETIKHOT","31-Oct-2023"
