"id","title","text","subject","date"
"1","Viral Sopir Pikap Diamuk di Jakut Usai Tabrak Lari, Ini Faktanya","Seorang pria sopir mobil pikap dipukuli sejumlah orang di depan SMK di Tugu Selatan, Koja, Jakut. Polisi menjelaskan duduk perkara kasus tersebut.","DETIKNEWS","05-Dec-2023"
"2","Kominfo DIY Pastikan Isu Prabowo Tebar Ancaman Jika Batal Jadi Presiden Hoax!","Diskominfo DIY memastikan kabar Prabowo Subianto bakal menebar ancaman jika gagal menjadi Presiden 2024 adalah hoaks. Begini penelusurannya.","DETIKJOGJA","30-Nov-2023"
"3","Satpam Istiqlal Diviralkan Usir Massa Aksi Bela Palestina, Ini Kata BPMI","Video satpam Masjid Istiqlal yang diviralkan mengusir massa Aksi Bela Palestina beredar. Pengelola Masjid Istiqlal menepis isu tersebut.","DETIKNEWS","06-Nov-2023"
"4","Geger Kabar Kudus Zona Merah Rawan Begal, Polisi Buru Penyebar Hoaks","Muncul kabar sejumlah daerah di Kabupaten Kudus, Jawa Tengah masuk zona merah rawan begal. Polisi memastikan kabar tersebut hoaks.","DETIKJATENG","03-Nov-2023"
"5","Waspada Dab! Kominfo DIY Ungkap Penipuan Bermodus Surat Pengalihan Dana BI","Dinas Komunikasi dan Informatika (Kominfo) DI Yogyakarta (DIY) kembali merilis kabar beredarnya berita palsu atau hoaks.","DETIKJOGJA","02-Nov-2023"
"6","Beredar Pesan WA Denda PPh Catut Kantor Pajak Jogja, Kominfo DIY: Hoaks!","Dinas Kominfo DIY menginformasikan soal berita palsu atau hoaks terkait denda Pajak Penghasilan (PPh) yang mencatut Kantor Pelayanan Pajak (KPP) Pratama Jogja.","DETIKJOGJA","30-Oct-2023"
"7","Unggah Foto Bareng, Andika dan Ariel NOAH Udah Akur?","Andika Naliputra dan Ariel NOAH akhirnya bertemu, seusai keduanya berseteru. Lantas apakah keduanya sudah akur?","DETIKHOT","23-Oct-2023"
"8","Viral Motor Pelat Merah Masuk Tol 'Kawal Mobil', Ini Faktanya","Video sepeda motor pelat merah melaju di tol dan mengawal kendaraan lain viral di media sosial (medsos). Simak, berikut faktanya.","DETIKNEWS","12-Oct-2023"
"9","Miras Kemasan Saset Disebut Beredar Bidik Siswa Surabaya, Dinkes: Hoaks!","Pesan yang mengatasnamakan Puskesmas Tanah Kali Kedinding soal minuman keras berbentu saset beredar di grup WhatsApp. Dipastikan itu adalah kabar bohong!","DETIKJATIM","10-Oct-2023"
"10","Tipu-tipu Pemuda Wonosobo Ngaku Dibegal, Duitnya Ternyata buat Judi","Kabar korban begal di Jalan Siantap, Desa Wonolelo, Wonosobo bikin heboh di media sosial. Belakangan pengakuan sebagai korban begal ini hanya tipu-tipu.","DETIKJATENG","30-Sep-2023"
"11","Baru Sehari Menjabat, Pj Bupati Banyumas Dicatut Penipuan Via WA","Nama Penjabat (Pj) Bupati Banyumas Hanung Cahyo Saputro dicatut untuk penipuan via WhatsApp (WA). Pelaku nekat minta uang hingga puluhan juta.","DETIKJATENG","25-Sep-2023"
"12","Hoaks Situs Pendaftaran PPPK Kemensos, Begini Faktanya","Kominfo DIY menyampaikan adanya hoaks informasi situs pendaftaran PPPK Kemensos. Simak berikut.","DETIKJOGJA","21-Sep-2023"
"13","Kabar Pelatih China Laporkan Pemain Timnas RI Bukan WNI, Kominfo DIY: Hoax","Kominfo DIY menegaskan kabar pelatih Timnas China Taipei U-23 Tseng Tai-Lin melaporkan pemain Timnas, Marselino Ferdinan bukan WNI adalah hoax.","DETIKJOGJA","21-Sep-2023"
"14","Geger Pemuda di Pati Diviralkan Jadi Korban Pembacokan Ternyata Hoaks!","Pesan berantai tentang korban pembacokan di wilayah Kabupaten Pati bikin geger di media sosial. Polisi menyebut kabar itu hoaks. Begini penjelasannya.","DETIKJATENG","20-Sep-2023"
"15","Polisi Pastikan Isu Ustaz Abdul Somad Dipanggil Terkait Rempang Hoax!","Polda Kepri memastikan kabar pemanggilan Ustadz Abdul Somad oleh polisi usai bentrokan di Rempang adalah hoax atau bohong. Penyabar hoax tersebut sedang diburu.","DETIKNEWS","18-Sep-2023"
"16","Panglima TNI Ungkit Video Hoax Dukung Anies: Aku Ketemu Juga Kapan...","Panglima TNI Laksamana TNI Yudo Margono mengingatkan semua prajurit untuk menjaga netralitas. Dia mengungkit soal video hoax disebut mendukung Anies Baswedan.","DETIKNEWS","12-Sep-2023"
"17","Kominfo DIY Tepis Kabar Jogja Ludes Dihantam Gelombang Tinggi: Hoax!","Dinas Komunikasi dan Informatika (Kominfo) DIY menepis unggahan di medsos yang menyebut Kota Jogja ludes dihantam gelombang tinggi. Berikut penjelasannya.","DETIKJOGJA","30-Aug-2023"
"18","Polda Jabar Tepis Isu Viral Panji Gumilang Bentak Polisi, Ini Penjelasannya","Video seorang pria dimarahi pimpinan Ponpes Al-Zaytun, Panji Gumilang, viral di medsos. PDinarasikan, pria tersebut adalah seorang polisi. Bagaimana faktanya?","DETIKNEWS","17-Jun-2023"
"19","Fakta Terbaru Kompetisi Seks di Swedia, Ternyata 'Halu' Semata","Media sosial digemparkan kabar bahwa Swedia mendeklarasikan seks sebagai olahraga dan punya kompetisi resmi. Belakangan terungkap, rencana ini ternyata ditolak.","DETIKHEALTH","06-Jun-2023"
"20","Viral SPBU di Susukan Banjarnegara Tutup 15 Menit saat Azan Ternyata Hoax","SPBU di Susukan, Banjarnegara viral karena dikabarkan menutup 15 menit saat waktu azan berkumandang. Pihak SPBU menyatakan hal itu hoax.","DETIKJATENG","11-May-2023"
"21","Viral Telepon Status Vaksinasi-Ponsel Diblokir, Kemenkes Pastikan Hoax!","Kementerian Kesehatan RI memastikan tidak ada panggilan melalui telepon untuk menanyakan status vaksinasi. Pesan yang beredar belakangan ini, dipastikan hoaks!","DETIKHEALTH","01-May-2023"
"22","BRIN soal Viral Gerhana Matahari Tanda Masuk Syawal: Info Menyesatkan","Warganet ramai membahas soal gerhana matahari menjadi tanda berakhirnya Ramadan dan tanda masuknya bulan Syawal. Pakar astronomi meluruskan kabar itu.","DETIKNEWS","19-Apr-2023"
"23","TNI: Kabar Panglima Ada di Pesawat Tergelincir di Bandara Mimika Hoax!","Mabes TNI menepis kabar Panglima TNI Laksamana Yudo Margono ada dalam pesawat yang tergelincir di Bandara Mozes Kilangin Timika, Kabupaten Mimika, Papua Tengah.","DETIKNEWS","17-Apr-2023"
"24","Viral Anggota Kopassus Hajar 3 Pelaku Klitih di Kartasura, Ini Faktanya","Sebuah video tiga pria terduga pelaku klitih babak belur dihajar viral di media sosial (medsos). Begini faktanya.","DETIKNEWS","10-Apr-2023"
"25","Awas Ada Akun Medsos Palsu Ida Dayak, Waspada Penipuan","Akun palsu media sosial (medsos) Instagram (IG) Ida Andrani alias Ida Dayak beredar. Polisi mengimbau masyarakat mewaspadai modus penipuan.","DETIKNEWS","06-Apr-2023"
"26","Info Lur! Panggilan Seleksi Karyawan Bulog via WA Hoax","Kominfo DIY memastikan informasi yang menyebut tes seleksi karyawan Bulog secara offline di Kantor Pusat Bulog dengan reservasi akomodasi adalah hoax.","DETIKJATENG","30-Mar-2023"
"27","Viral Dumbell Masuk Dubur Dinarasikan 'Ini Indonesia', Faktanya Begini","Viral penampakan X-ray dumbell masuk dubur bikin kaget. Disebutkan kasus itu terjadi di Indonesia. Begini faktanya.","DETIKHEALTH","21-Mar-2023"
"28","Eko Patrio Klarifikasi soal Disebut Kenal Dekat Ayah Mario Dandy","Eko Patrio sempat heboh dikabarkan dekat dengan ayah Mario Dandy. Eko klarifikasi banyak yang salah paham dengan ucapannya dan tegas dia mengaku tidak dekat.","DETIKHOT","17-Mar-2023"
"29","Viral Mandi Malam Disebut Picu Paru-paru Basah, Dokter Ungkap Faktanya","Seorang anak muda di TikTok mengaku terkena paru-paru basah karena mandi malam. Namun, dokter paru membantah klaim tersebut. Begini penjelasannya.","DETIKHEALTH","25-Feb-2023"
"30","Viral Polisi Jemput Ratusan Tentara China di Bandara, Polri Ungkap Faktanya","Video menunjukkan sejumlah tentara berseragam yang disebut tentara China di area bandara viral di medsos. Polri memastikan informasi dalam video tersebut hoaks.","DETIKNEWS","04-Feb-2023"
"31","Uji Coba ERP di DKI Disebut Sudah Mulai 25 Januari, Ini Faktanya","Beredar kabar jalan berbayar elektronik (electronic road pricing/ERP) di Jakarta telah diuji coba pada 25 Januari 2023. Fakta atau hoax?","DETIKNEWS","02-Feb-2023"
"32","Viral Video Bernarasi Penculik Anak di Grobogan Dihajar Massa, Polisi: Hoax!","Video yang dinarasikan warga tengah menghakimi pelaku penculikan di Toroh, Grobogan, viral di media sosial. Polres Grobogan memastikan video tersebut hoax.","DETIKJATENG","02-Feb-2023"
"33","Viral Pelanggan 'Ambil Uang' Saat Petugas SPBU di Depok Jatuh, Ini Faktanya","Video seorang pelanggan diduga mengambil uang petugas SPBU di Depok yang terjatuh karena sakit viral di medsos. Begini faktanya.","DETIKNEWS","31-Jan-2023"
"34","Heboh Voice Note Penculikan Anak di Pekalongan, Begini Faktanya","Beredar kabar soal penculikan anak melalui pesan suara (voice note) berantai di Whatsapp. Polisi sudah mengecek kabar itu. Ini 2 faktanya di lapangan.","DETIKJATENG","31-Jan-2023"
"35","Heboh Kabar Percobaan Penculikan Anak di Kudus, Polisi: Hoax!","Sebuah pesan soal percobaan penculikan anak di Kudus ramai di media sosial. Polisi memastikan kabar tersebut hoax.","DETIKJATENG","30-Jan-2023"
"36","Isu Penculikan di Depok hingga Cakung Ternyata Hoax, Ini Fakta-faktanya","Kabar soal penculikan anak sedang ramai beredar di medsos. Kabar hoax penculikan itu juga disebut terjadi di Depok, Jawa Barat, hingga Cakung, Jakarta Timur.","DETIKNEWS","30-Jan-2023"
"37","2 Siswi di Bogor Bukan Diculik, Faktanya Pulang Telat Usai Bermain","Polisi memastikan kabar 2 siswi SD di Gunungsindur, Bogor, merupakan kabar bohong (hoax). Bagaimana faktanya?","DETIKNEWS","30-Jan-2023"
"38","Geger Bocah di Kulon Progo Jadi Target Penculikan, Polisi: Miskomunikasi","Kabar seorang bocah di Kapanewon Nanggulan, Kulon Progo, DI Yogyakarta, menjadi korban penculikan bikin heboh ternyata tak benar. Berikut penjelasan polisi.","DETIKJATENG","26-Jan-2023"
"39","Viral Video Penyetoran Uang Korupsi Gibran Rakabuming, KPK Pastikan Hoax!","Video berisi narasi KPK menyetorkan uang hasil korupsi Gibran beredar di media sosial. KPK menegaskan informasi dalam video itu tidak benar alias hoax.","DETIKNEWS","24-Jan-2023"
"40","Beredar Video Kecelakaan Mengerikan di Lamongan, Begini Faktanya","Video kecelakaan mengerikan yang dinarasikan di Lamongan beredar di media sosial. Polisi menyebut hoaks, karena kecelakaan terjadi di Subang.","DETIKJATIM","11-Jan-2023"
"41","Viral Video Hoax Diseret Paksa dari Ruang Sidang, Ini Respons Febri Diansyah","Video yang dinarasikan pengacara Putri Candrawathi, Ferbri Diansyah, diseret dari ruang sidang beredar di media sosial. Febri merespons santai hal itu.","DETIKNEWS","28-Dec-2022"
"42","Nonton Bareng Teroooss Jadi Saksi Messi Angkat Trofi Piala Dunia 2022","Nonton Bareng Teroooss di Kemang Jakarta dihadiri ratusan pencinta sepak bola. Acara ini jadi saksi kemenangan Argentina atas Prancis.","DETIKNEWS","19-Dec-2022"
"43","Wajib Coba, Ini 11 Destinasi Wisata Baru Singapura yang Unik & Menarik","Singapura punya sejuta pesona dari beragamnya destinasi wisata yang bisa dikunjungi.","DETIKNEWS","15-Dec-2022"
"44","Cepat dan Mudah, Prodia Siap Periksa Datang ke Rumah","Pandemi telah membentuk kebiasaan baru di mana saat ini masyarakat terbiasa melakukan segala aktivitas dan pekerjaan dari rumah.","DETIKHEALTH","15-Dec-2022"
"45","Penyebar Video Hoax Lantai RS Jebol Dampak Gempa Karangasem Ditangkap!","Pria berinisial INM (39) asal Desa Kesimpar, Kecamatan Abang, Kabupaten Karangasem, Bali, diamankan anggota Polsek Bebandem.","DETIKNEWS","14-Dec-2022"
"46","Peruri Kenalkan Tamara Asisten Virtual yang Siap Layani Kebutuhan Pelanggan","Perusahaan Umum Percetakan Uang Republik Indonesia (Peruri) meluncurkan inovasi layanan asisten virtual bernama Tamara (Trusted and Smart Peruri Assistant).","DETIKFINANCE","13-Dec-2022"
"47","TNGGP Tegaskan Kabar Gunung Gede Erupsi Usai Gempa Cianjur Hoaks!","Beredar kabar Gunung Gede erupsi hingga mengeluarkan percikan cahaya dan api pasca gempa 5,6 magnitudo mengguncang Cianjur. BBTNGGP membantah kabar itu.","DETIKNEWS","22-Nov-2022"
"48","Waspada Lur, Kabar Pengangkatan Perawat-Guru Honorer DIY Tanpa Tes Hoax!","Beredar kabar pengangkatan tenaga honorer perawat dan guru di Daerah Istimewa Yogyakarta (DIY). Pemerintah Provinsi DIY memastikan kabar itu hoax.","DETIKJATENG","25-Oct-2022"
"49","Hoaks Video Dukung Anies Baswedan Presiden 2024 Dapat Rp 1 Miliar","Sebuah video berisi seorang pria yang menyebut siapun yang mendukung Anies Baswedan akan mendapat Rp 1 Miliar. Video itu dipastikan hoaks.","DETIKJATIM","13-Oct-2022"
"50","Beredar Video Penggeledahan Rumah Hasto PDIP-Rp 50 M Ditemukan, KPK: Hoax!","Sebuah video viral menarasikan KPK melakukan upaya paksa penggeledahan di kediaman Sekjen PDIP Hasto Kristiyanto. KPK memastikan tayangan tersebut hoax.","DETIKNEWS","28-Sep-2022"
"51","Polri Pastikan Heboh Video 'Sel Mewah Ferdy Sambo' Hoax","Viral video yang menunjukkan ruangan berisi sofa hingga kamar dilengkapi sejumlah tempat tidur yang disebut-sebut sel mewah Ferdy Sambo. Polri memastikan hoax.","DETIKJATENG","28-Sep-2022"
"52","TNI Pastikan Kabar Prajurit di Intan Jaya Gugur Ditembak OPM Hoax!","KKB mengklaim menyerang pos dan menembak 2 prajurit TNI di Titigi, Kabupaten Intan Jaya, Papua. Pihak TNI memastikan kabar tersebut tidak benar (hoax).","DETIKNEWS","22-Sep-2022"
"53","Wanita Terkapar di Terowongan TMII Diviralkan Korban Begal, Ini Faktanya","Wanita terkapar di terowongan TMII, Jaktim, diviralkan sebagai korban begal. Faktanya, wanita tersebut adalah korban kecelakaan lalu lintas.","DETIKNEWS","20-Sep-2022"
"54","Polri Tegaskan Viral 'ART' Sebut Ada Pintu Rahasia di Rumah Sambo Hoax!","Sebuah video yang menyebutkan ada pintu rahasia di rumah Irjen Ferdy Sambo viral di medsos. Polri memastikan bahwa video tersebut hoaks.","DETIKNEWS","05-Sep-2022"
"55","Viral Ustaz Tahfiz Dipukuli-Ditendang, Ternyata di Jerantut Malaysia","Video ustaz tahfiz dipukuli viral di media sosial. Banyak yang menyebut pemukulan itu terjadi di Indonesia. Benarkah?","DETIKNEWS","15-Aug-2022"
"56","Ada-ada Aja! Muncul Hoax BMKG Ngetweet 'Tsunami Tropi King EMYU'","BMKG mengunggah foto seolah tangkapan layar cuitan dari Twitter resmi BMKG. BMKG menyatakan foto berisi tulisan 'peringatan tsunami tropi king EMYU' itu hoax.","DETIKNEWS","21-Jul-2022"
"57","Saksi Buka Suara soal 'Misteri Tangan Pucat' Evakuasi Mobil di Gandaria","Video penampakan 'tangan pucat' dari kolong MINI Cooper di Jaksel bikin heboh netizen. 'Tangan pucat' dikaitkan dengan hal mistis. Saksi mengungkap faktanya.","DETIKNEWS","06-Jul-2022"
"58","Viral Gas Disebut Oksigen di Tangerang Bikin Warga Panik, Ini Faktanya","Sebuah video yang memperlihatkan gas yang disebut-sebut oksigen memenuhi jalan di Tangerang, Banten, viral di media sosial (medsos).","DETIKNEWS","06-Jul-2022"
"59","Foto Semarang nan Kumuh Ini Ternyata Hoax, Simak Penjelasannya","Foto yang menampilkan penampakan jalan layang dengan kondisi lingkungan yang kumuh itu ternyata hoax. Simak penjelasan Dinas Kominfo Pemkab Temanggung di ini.","DETIKJATENG","17-Jun-2022"
"60","Viral Video Dinarasikan Tol Becakayu Amblas, Ini Faktanya","Faktanya, box girder tersebut adalah pekerjaan kereta cepat Jakarta-Bandung di atas Jembatan Antelope, Bekasi. Jembatan itu nantinya akan ditutup.","DETIKNEWS","14-Jun-2022"
"61","Viral Video 'Kuntilanak' Muncul di Jaktim, Begini Faktanya","Polisi telah mengecek kebenaran video tersebut dengan mendatangi lokai. Polisi menyebut video penampakan 'kuntilanak' di Jaktim adalah hoax.","DETIKNEWS","03-Jun-2022"
"62","Awas! Hoax Surat Pengangkatan Honorer Jadi PNS","""Surat tersebut dipastikan palsu dan tidak benar. Mohon masyarakat mengabaikan surat tersebut,"" jelas Averrouce, dalam keterangan tertulis, Sabtu (28/05).","DETIKFINANCE","28-May-2022"
